lat,lon
28.56063,120.61748
28.56049,120.61736
28.5596,120.61733
28.55898,120.61793
28.55794,120.61835
28.55767,120.6188
28.55705,120.61934
28.5569,120.61992
28.55657,120.62024
28.55643,120.62022
28.55611,120.61982
28.55578,120.61964
28.55483,120.61973
28.55457,120.61991
28.55413,120.61989
28.55403,120.61995
28.5537,120.62044
28.55349,120.6209
28.55323,120.62121
28.55255,120.62141
28.55144,120.6225
28.55126,120.62276
28.55084,120.62303
28.55072,120.62327
28.55024,120.62363
28.54797,120.62268
28.54767,120.62276
28.54745,120.62297
28.54684,120.62335
28.54672,120.62335
28.54606,120.62308
28.54569,120.62306
28.54538,120.62331
28.54514,120.62329
28.5448,120.62318
28.54462,120.62295
28.5444,120.6229
28.54297,120.62283
28.5424,120.62272
28.54211,120.62293
28.54189,120.62293
28.54133,120.62346
28.54005,120.62427
28.53969,120.62404
28.53954,120.62367
28.53945,120.62299
28.5393,120.62263
28.53866,120.62179
28.53824,120.62147
28.5379,120.62149
28.53738,120.62168
28.53731,120.62155
28.53735,120.62122
28.53692,120.62068
28.53658,120.6198
28.53656,120.6195
28.53659,120.61937
28.53686,120.61908
28.53694,120.61875
28.53693,120.61821
28.53651,120.61673
28.53646,120.61604
28.53609,120.61557
28.53598,120.61523
28.53619,120.61432
28.53641,120.61401
28.53665,120.61308
28.5369,120.61269
28.53694,120.61212
28.53779,120.61031
28.53729,120.60961
28.53707,120.60915
28.53717,120.60866
28.53732,120.60848
28.53735,120.60825
28.53706,120.60658
28.53674,120.60609
28.53641,120.60514
28.53681,120.60417
28.53682,120.60383
28.53703,120.60353
28.53699,120.60297
28.53708,120.60244
28.53744,120.60191
28.53734,120.60166
28.53736,120.60147
28.53757,120.60128
28.53757,120.60119
28.53734,120.60092
28.53741,120.60064
28.53719,120.60017
28.53718,120.59984
28.53726,120.59974
28.53755,120.59969
28.53754,120.59941
28.53769,120.59916
28.53774,120.5989
28.53802,120.5985
28.53772,120.59762
28.53734,120.59715
28.53706,120.59638
28.53705,120.59614
28.53724,120.59592
28.53737,120.59554
28.53719,120.59486
28.53734,120.5939
28.53729,120.5928
28.53692,120.59252
28.53652,120.59234
28.53582,120.59174
28.5352,120.59175
28.53505,120.59163
28.53505,120.59127
28.53535,120.59081
28.53539,120.59051
28.53571,120.59021
28.53582,120.58972
28.53624,120.58886
28.53631,120.58841
28.53655,120.58802
28.53628,120.58668
28.53598,120.58593
28.53608,120.58567
28.53657,120.58533
28.5366,120.58517
28.53604,120.58447
28.5354,120.58341
28.53524,120.58336
28.53478,120.58297
28.53432,120.58281
28.53412,120.58255
28.53378,120.58231
28.53379,120.58168
28.53397,120.58077
28.53397,120.57974
28.53432,120.5791
28.53499,120.57872
28.5351,120.57847
28.53573,120.57783
28.53598,120.57682
28.53632,120.57675
28.53667,120.57656
28.53764,120.57672
28.53799,120.57657
28.53841,120.57626
28.53854,120.57602
28.53852,120.57541
28.53885,120.57505
28.53871,120.57406
28.5389,120.57376
28.53903,120.57336
28.53921,120.5732
28.53987,120.57305
28.54014,120.57289
28.5406,120.57244
28.5408,120.57236
28.5412,120.57172
28.54138,120.57113
28.54115,120.5704
28.54119,120.56957
28.54104,120.56908
28.54106,120.56871
28.54072,120.56807
28.5407,120.56789
28.53975,120.56775
28.53929,120.56757
28.53912,120.56683
28.53846,120.56567
28.53734,120.56461
28.5368,120.56463
28.53645,120.56482
28.53582,120.56482
28.53545,120.5647
28.53496,120.5647
28.53528,120.56335
28.53534,120.5626
28.53568,120.56235
28.53578,120.56218
28.53583,120.56169
28.53594,120.56141
28.53591,120.56096
28.53537,120.55967
28.53512,120.55929
28.53442,120.55853
28.53321,120.55772
28.533,120.55729
28.533,120.55724
28.53301,120.55716
28.53313,120.55701
28.5337,120.55656
28.53394,120.5561
28.53419,120.55593
28.53448,120.55552
28.53464,120.55541
28.53614,120.5561
28.53666,120.55585
28.53692,120.55496
28.53743,120.55447
28.53781,120.55429
28.5387,120.55348
28.53874,120.55308
28.53906,120.55278
28.53946,120.55209
28.53934,120.55154
28.53942,120.55118
28.53927,120.55077
28.5393,120.55018
28.53917,120.54994
28.53815,120.54884
28.53822,120.54818
28.53813,120.54768
28.53729,120.54682
28.53735,120.54615
28.53727,120.5455
28.537,120.54497
28.53654,120.54467
28.53691,120.5434
28.53718,120.54315
28.53751,120.54312
28.5384,120.54381
28.53859,120.54379
28.5396,120.54266
28.5403,120.54176
28.54059,120.54107
28.54124,120.5407
28.54167,120.54019
28.54183,120.5401
28.54217,120.54013
28.54269,120.54
28.54287,120.53971
28.54326,120.53933
28.5436,120.53911
28.54397,120.53871
28.54522,120.53818
28.54538,120.53798
28.54569,120.53727
28.54678,120.53682
28.54727,120.53645
28.5479,120.53576
28.54828,120.53555
28.54837,120.53525
28.5488,120.53462
28.54879,120.53361
28.54896,120.53304
28.54911,120.53284
28.54966,120.53248
28.54982,120.53203
28.5502,120.5318
28.5506,120.53107
28.55059,120.53083
28.55021,120.5298
28.5502,120.52899
28.5504,120.52868
28.55072,120.52847
28.55096,120.52817
28.55143,120.52743
28.55139,120.52682
28.55123,120.52651
28.55081,120.52601
28.55085,120.52584
28.55128,120.52546
28.55167,120.52483
28.55225,120.5241
28.55288,120.52352
28.55349,120.5231
28.55468,120.52297
28.55506,120.52273
28.5553,120.52244
28.55523,120.52165
28.55527,120.52144
28.55623,120.52044
28.55661,120.52031
28.55815,120.52034
28.55848,120.52049
28.55898,120.52093
28.55915,120.52081
28.55923,120.52064
28.55924,120.52026
28.55862,120.51882
28.55837,120.51858
28.55775,120.51738
28.55757,120.51723
28.55699,120.51699
28.5568,120.51669
28.55692,120.51644
28.55734,120.51608
28.55806,120.51526
28.55903,120.5146
