lat,lon
28.08498,120.31923
28.08466,120.3193
28.083,120.31907
28.08198,120.31877
28.08161,120.31873
28.08136,120.31882
28.08116,120.31995
28.08095,120.32062
28.08092,120.3212
28.08078,120.32151
28.08053,120.32183
28.07994,120.32206
28.07985,120.32229
28.07988,120.32304
28.07968,120.3235
28.07972,120.3241
28.07926,120.32546
28.07863,120.32592
28.07798,120.32727
28.07776,120.32788
28.07739,120.32842
28.07668,120.32915
28.07577,120.32946
28.07514,120.33006
28.07514,120.33063
28.0753,120.33132
28.07542,120.33235
28.07531,120.33262
28.07463,120.33324
28.07435,120.33328
28.07405,120.33346
28.07394,120.33383
28.07396,120.33476
28.0733,120.33599
28.07297,120.33608
28.07217,120.33583
28.07125,120.33648
28.07062,120.33709
28.06986,120.33873
28.06939,120.33909
28.06894,120.33969
28.06845,120.34144
28.06831,120.34167
28.06787,120.34202
28.06755,120.34275
28.06665,120.3443
28.06665,120.34467
28.06676,120.34501
28.06661,120.34554
28.06669,120.34585
28.06669,120.34632
28.06632,120.34748
28.06598,120.34767
28.06571,120.34801
28.06539,120.34826
28.06511,120.34865
28.0643,120.34933
28.0638,120.3504
28.06354,120.35079
28.06329,120.35148
28.06306,120.35186
28.0629,120.35194
28.06255,120.35189
28.06221,120.35195
28.06181,120.35221
28.06143,120.35216
28.06104,120.35183
28.06058,120.35113
28.06016,120.35019
28.05975,120.35016
28.05934,120.34989
28.05871,120.35005
28.05834,120.35006
28.05776,120.34981
28.0573,120.34949
28.05696,120.3496
28.05563,120.35046
28.05458,120.35079
28.05468,120.35034
28.05535,120.35001
28.05568,120.3495
28.0554,120.34884
28.05543,120.34763
28.05572,120.34606
28.05518,120.34479
28.05493,120.34459
28.05453,120.34402
28.0543,120.34396
28.05405,120.34405
28.05393,120.34399
28.05361,120.34325
28.05306,120.34239
28.05271,120.3422
28.05339,120.3415
28.05358,120.34124
28.05364,120.34103
28.05338,120.34003
28.05342,120.33953
28.05333,120.33886
28.05343,120.33831
28.05371,120.33778
28.05359,120.33748
28.05357,120.33716
28.05344,120.33699
28.05331,120.33696
28.05306,120.33725
28.05283,120.33735
28.05268,120.33731
28.05246,120.33716
28.05229,120.33659
28.05248,120.33494
28.05244,120.33461
28.05261,120.33365
28.05298,120.33305
28.05307,120.33265
28.0528,120.33171
28.05236,120.33125
28.05196,120.33008
28.05174,120.32981
28.05151,120.32965
28.05076,120.32803
28.05026,120.32752
28.04988,120.32726
28.04941,120.32653
28.04884,120.326
28.04862,120.32555
28.04837,120.32469
28.04833,120.32433
28.0484,120.32394
28.04835,120.32348
28.0477,120.3214
28.04774,120.32096
28.0483,120.32043
28.04845,120.32017
28.04856,120.31942
28.04847,120.31819
28.04825,120.31778
28.04794,120.31749
28.04793,120.31683
28.04795,120.31659
28.04831,120.31598
28.04861,120.31527
28.04853,120.31476
28.04857,120.31437
28.04916,120.31299
28.0483,120.31238
28.04733,120.3115
28.04627,120.3104
28.04543,120.30916
28.04435,120.30836
28.04383,120.30786
28.04386,120.30763
28.04476,120.30706
28.04536,120.3064
28.04623,120.30629
28.04737,120.30524
28.04755,120.3047
28.04745,120.30429
28.04693,120.30336
28.0465,120.30275
28.04625,120.30259
28.04505,120.30221
28.04491,120.30211
28.04473,120.30167
28.04464,120.30163
28.04397,120.30183
28.04291,120.3018
28.04266,120.30163
28.04202,120.30092
28.04219,120.30043
28.04268,120.29976
28.04286,120.29931
28.04341,120.29849
28.04344,120.29824
28.0432,120.29758
28.0431,120.29705
28.0429,120.29662
28.0426,120.29634
28.04241,120.2963
28.04228,120.29603
28.04216,120.29559
28.04219,120.29512
28.0421,120.29491
28.04188,120.29476
28.04161,120.29474
28.04127,120.29434
28.04115,120.29399
28.04093,120.29391
28.04072,120.29366
28.03995,120.2933
28.03983,120.29315
28.03976,120.29274
28.04011,120.29221
28.03985,120.29176
28.03955,120.29181
28.03908,120.29158
28.03874,120.29121
28.03762,120.29039
28.03751,120.29021
28.03746,120.29009
28.03787,120.29008
28.03879,120.29012
28.03914,120.29004
28.04025,120.29022
28.04016,120.29006
28.03982,120.29006
28.03915,120.28972
28.0387,120.28973
28.03851,120.28949
28.03816,120.28945
28.03811,120.28937
28.0378,120.28936
28.03778,120.28921
28.03832,120.28919
28.03863,120.28897
28.03893,120.28862
28.03899,120.28822
28.03943,120.28778
28.03924,120.28761
28.03906,120.28763
28.03843,120.28804
28.03809,120.2881
28.03779,120.28807
28.03759,120.28785
28.0382,120.28706
28.03845,120.28659
28.03779,120.28604
28.03739,120.28539
28.0372,120.2847
28.03716,120.28395
28.03704,120.28378
28.03682,120.28393
28.03661,120.28448
28.03624,120.28483
28.03597,120.28527
28.03597,120.28562
28.03619,120.28602
28.03635,120.28674
28.03662,120.28738
28.03661,120.28793
28.03639,120.28806
28.03614,120.28808
28.036,120.28823
28.03588,120.28822
28.03558,120.28807
28.03536,120.28785
28.03506,120.28781
28.03455,120.28737
28.0348,120.28669
28.03476,120.2866
28.03443,120.2865
28.03444,120.28605
28.03465,120.28463
28.03491,120.28364
28.0351,120.28217
28.0357,120.28243
28.0365,120.28211
28.03774,120.28179
28.03814,120.28158
28.03724,120.27912
28.03708,120.27891
28.03656,120.2787
28.0364,120.27845
28.0361,120.27684
28.03584,120.27635
28.03573,120.27576
28.03543,120.27507
28.03546,120.27472
28.03608,120.27333
28.03629,120.27247
28.03645,120.27226
28.03648,120.27206
28.03633,120.27113
