lat,lon
30.74295,120.73303
30.74364,120.7309
30.74427,120.72922
30.74429,120.72894
30.74429,120.72887
30.74433,120.7282
30.74413,120.72465
30.74406,120.72116
30.75166,120.7214
30.75378,120.72152
30.75771,120.72175
30.75841,120.72178
30.76074,120.72186
30.76184,120.72186
30.76198,120.72242
30.76216,120.72432
30.76218,120.7245
30.76227,120.72481
30.76375,120.7247
30.76371,120.72689
30.7629,120.72695
30.76288,120.72681
30.76247,120.7269
30.76266,120.72779
30.76301,120.72853
30.76299,120.72897
30.76302,120.73032
30.76307,120.73112
30.76349,120.73405
30.76375,120.73532
30.76438,120.73832
30.76321,120.7384
30.7615,120.73796
30.76065,120.73773
30.76002,120.73757
30.7595,120.73743
30.75841,120.737
30.75819,120.73705
30.75761,120.73741
30.75738,120.73737
30.75571,120.73636
30.75552,120.73759
30.75527,120.74009
30.75503,120.74077
30.75472,120.74167
30.75405,120.74288
30.7534,120.74346
30.75309,120.74412
30.75296,120.74457
30.75093,120.74333
30.7483,120.74182
30.74565,120.74092
30.74528,120.74081
30.74323,120.7402
30.74227,120.73998
30.74226,120.73998
30.74226,120.7398
30.74286,120.73332
30.74295,120.73303
30.76302,120.73032
30.76299,120.72897
30.76301,120.72853
30.76371,120.72846
30.76403,120.72842
30.76651,120.72779
30.76664,120.72773
30.76701,120.72755
30.76753,120.72716
30.76808,120.72699
30.76996,120.72725
30.77067,120.72733
30.77161,120.72758
30.77248,120.7279
30.77306,120.72812
30.77369,120.72845
30.77374,120.72849
30.77427,120.72891
30.77466,120.7291
30.77642,120.72985
30.77785,120.73032
30.77958,120.73113
30.77985,120.73118
30.78009,120.73096
30.78055,120.72963
30.78108,120.72898
30.7823,120.72749
30.78316,120.72618
30.78324,120.72592
30.78303,120.72549
30.78238,120.72458
30.78215,120.72404
30.78207,120.72355
30.78231,120.72325
30.78483,120.72639
30.78528,120.72718
30.78536,120.72739
30.78572,120.72903
30.78632,120.7326
30.78683,120.73566
30.7875,120.73992
30.7875,120.73992
30.78789,120.7449
30.78796,120.7461
30.78821,120.75031
30.78558,120.75066
30.78446,120.7508
30.78299,120.75114
30.78207,120.75167
30.77779,120.75214
30.77729,120.75209
30.776,120.75197
30.77539,120.75173
30.7737,120.74868
30.77335,120.74822
30.77316,120.74771
30.77285,120.74673
30.77234,120.74576
30.77198,120.74477
30.77154,120.74387
30.77136,120.7436
