lat,lon
30.12946,121.02609
30.12862,121.02524
30.12827,121.02471
30.12808,121.02423
30.12765,121.02368
30.12742,121.02362
30.12683,121.02374
30.12612,121.02332
30.12587,121.0226
30.12585,121.02203
30.12473,121.02232
30.12453,121.02223
30.12436,121.022
30.12449,121.0219
30.12486,121.02184
30.125,121.02166
30.12536,121.02142
30.12579,121.02134
30.12611,121.02117
30.12656,121.02068
30.12495,121.02034
30.12429,121.02009
30.12419,121.01972
30.12417,121.01885
30.12403,121.01837
30.12353,121.01767
30.12333,121.01753
30.12269,121.01727
30.12169,121.01747
30.12122,121.01746
30.12055,121.01744
30.12037,121.01735
30.11961,121.01662
30.11946,121.01635
30.11874,121.01571
30.11847,121.01496
30.11794,121.01399
30.11742,121.01357
30.11724,121.01355
30.11676,121.01371
30.11661,121.0136
30.11633,121.01291
30.11609,121.01204
30.11571,121.0121
30.11464,121.01204
30.11391,121.01212
30.11367,121.01206
30.11348,121.01184
30.11317,121.01135
30.11289,121.01016
30.11265,121.00971
30.11203,121.00931
30.11172,121.00883
30.11116,121.00825
30.11089,121.00783
30.11083,121.00733
30.11097,121.00684
30.11096,121.00627
30.11126,121.0052
30.11134,121.00506
30.11199,121.00522
30.11213,121.00503
30.11168,121.00482
30.11132,121.0048
30.11126,121.00456
30.11144,121.00415
30.11144,121.0039
30.11101,121.00263
30.1108,121.0024
30.11057,121.00231
30.11043,121.00255
30.11003,121.00268
30.10962,121.00323
30.10965,121.00356
30.10959,121.00361
30.10952,121.00358
30.10951,121.00345
30.10915,121.00348
30.10915,121.00369
30.10903,121.00394
30.10907,121.00405
30.10927,121.0041
30.10897,121.00457
30.1087,121.00541
30.10853,121.00544
30.10841,121.00558
30.10844,121.00601
30.10893,121.00606
30.10888,121.00621
30.10871,121.00636
30.10823,121.00647
30.10818,121.00641
30.10657,121.00664
30.10648,121.00657
30.10602,121.00548
30.10429,121.00519
30.10385,121.00518
30.10391,121.004
30.10375,121.00281
30.1043,121.0016
30.10451,121.00142
30.10513,121.00113
30.10525,121.00099
30.10519,120.9991
30.1051,120.9988
30.10439,120.99881
30.10423,120.99913
30.10427,120.99949
30.10332,121.00029
30.10298,121.00118
30.10274,121.00109
30.10276,121.00092
30.10243,121.00037
30.10265,121.00038
30.10268,121.00014
30.10265,120.99959
30.10234,120.99926
30.1024,120.99909
30.10264,120.99882
30.10342,120.99682
30.10384,120.99684
30.10394,120.99659
30.10415,120.99642
30.10453,120.99628
30.1048,120.99628
30.10535,120.99665
30.10562,120.99673
30.10743,120.99504
30.10753,120.99502
30.10773,120.99512
30.108,120.99551
30.10841,120.99574
30.1101,120.99486
30.11171,120.99457
30.11251,120.9945
30.11282,120.99429
30.11266,120.99402
30.11286,120.9936
30.11301,120.99344
30.1132,120.99347
30.11331,120.9937
30.11391,120.99416
30.11451,120.99441
30.11501,120.99443
30.1152,120.99413
30.11573,120.9937
30.11576,120.99325
30.11509,120.9922
30.1151,120.99202
30.11528,120.99183
30.11531,120.99166
30.11501,120.99142
30.11461,120.9914
30.11449,120.99131
30.11447,120.99055
30.11441,120.99043
30.11409,120.9902
30.11398,120.99
30.11404,120.98982
30.11438,120.98983
30.11511,120.99002
30.11555,120.99023
30.11571,120.99022
30.11608,120.98888
30.11646,120.98802
30.1171,120.9882
30.11781,120.98781
30.11833,120.98837
30.11868,120.98853
30.11936,120.98845
30.11958,120.98864
30.11982,120.98864
30.12005,120.98851
30.12049,120.98804
30.12086,120.98692
30.12109,120.9867
30.12178,120.98635
30.1221,120.98604
30.12273,120.98508
30.12333,120.98373
30.1237,120.98332
30.12426,120.98304
30.12433,120.98284
30.12431,120.98116
30.12437,120.98097
30.12568,120.98041
30.12601,120.98042
30.12633,120.98074
30.12722,120.98198
30.12784,120.98219
30.12867,120.98285
30.12901,120.98391
30.1294,120.98445
30.12981,120.98408
30.1305,120.98366
30.13116,120.98354
30.13181,120.98162
30.13195,120.98135
30.13228,120.98106
30.13285,120.98095
30.13344,120.98036
30.13424,120.9798
30.13445,120.97972
30.13526,120.97965
30.1356,120.97991
30.13638,120.98071
30.13713,120.98121
30.13789,120.98108
30.13838,120.98086
30.13828,120.97979
30.13842,120.97858
30.13868,120.97837
30.13954,120.97806
30.14033,120.97763
30.13986,120.97707
30.14017,120.97669
30.14126,120.97609
30.14173,120.97567
30.14248,120.97534
30.14259,120.97532
30.1431,120.9756
30.14353,120.97572
30.14449,120.97544
30.14503,120.97516
30.14543,120.97464
30.14474,120.97363
30.14508,120.97349
30.14569,120.97448
30.14568,120.97431
30.14575,120.97419
30.14633,120.97352
30.14719,120.97454
30.14791,120.97409
30.14812,120.97373
30.14824,120.97366
30.14874,120.97368
30.14803,120.97172
30.14963,120.97058
30.14976,120.97064
30.14982,120.97077
30.15063,120.97328
30.15113,120.97447
30.15132,120.97446
30.15173,120.97422
30.15142,120.97282
30.15215,120.97242
30.15217,120.9725
30.15255,120.9723
30.15246,120.97204
30.1528,120.97189
30.1523,120.97015
30.15287,120.96979
30.15037,120.9644
30.15105,120.96402
30.15011,120.96131
30.14996,120.96135
30.1494,120.95949
30.14916,120.9595
30.14848,120.95978
30.1484,120.95978
30.14835,120.9596
30.14777,120.95973
30.14716,120.95808
30.14779,120.95784
30.14761,120.95727
30.14706,120.95751
30.14699,120.95733
30.14841,120.95667
30.14807,120.95591
30.14794,120.95576
30.14723,120.95611
30.14701,120.95557
30.14753,120.95544
30.14758,120.95537
