lat,lon
30.43608,120.22038
30.43508,120.22005
30.43461,120.21939
30.43405,120.21911
30.43335,120.21845
30.43298,120.21783
30.4326,120.21773
30.43244,120.21743
30.43213,120.21743
30.43156,120.21701
30.43129,120.21706
30.43095,120.21725
30.43049,120.2176
30.42921,120.21911
30.42854,120.21947
30.42814,120.22015
30.42828,120.22071
30.42777,120.22126
30.42765,120.22121
30.4272,120.22049
30.4262,120.22032
30.42554,120.22005
30.42409,120.22099
30.42267,120.21859
30.42318,120.21822
30.4231,120.21813
30.42234,120.21809
30.42051,120.2182
30.41762,120.21811
30.41756,120.21728
30.41762,120.21562
30.41629,120.21523
30.41621,120.21513
30.41614,120.21356
30.41632,120.21239
30.41651,120.20987
30.41651,120.20854
30.4165,120.20697
30.41633,120.20552
30.41603,120.20408
30.41595,120.20405
30.41508,120.20446
30.41488,120.20391
30.41313,120.20419
30.41253,120.20442
30.41244,120.20416
30.41294,120.20391
30.41282,120.20359
30.4127,120.20357
30.41261,120.20323
30.41268,120.20303
30.41255,120.20291
30.41228,120.20177
30.41197,120.19974
30.41182,120.19917
30.41055,120.19951
30.41045,120.1995
30.41039,120.1994
30.41016,120.19852
30.40958,120.19533
30.40937,120.1934
30.40901,120.1934
30.4076,120.19393
30.40643,120.18973
30.4083,120.1896
30.40847,120.18965
30.41087,120.1894
30.41104,120.18962
30.41113,120.18955
30.41121,120.18922
30.41156,120.18906
30.41181,120.18914
30.41325,120.18919
30.415,120.1891
30.41506,120.18959
30.41609,120.18957
30.41615,120.18898
30.41698,120.18877
30.4172,120.18878
30.41762,120.18896
30.41896,120.18913
30.4191,120.18898
30.41915,120.18873
30.41915,120.18488
30.4189,120.1848
30.41884,120.18458
30.41911,120.17955
30.41902,120.17743
30.41906,120.17565
30.42053,120.17568
30.42107,120.17561
30.42204,120.17584
30.42224,120.17503
30.42231,120.17442
30.42219,120.17292
30.42223,120.17236
30.42232,120.17222
30.42248,120.17218
30.4237,120.17223
30.42541,120.17216
30.42601,120.17224
30.426,120.17167
30.4259,120.17055
30.42604,120.16586
30.42595,120.16132
30.42613,120.16076
30.42695,120.16056
30.42701,120.15886
30.42695,120.15878
30.42682,120.15779
30.42632,120.15788
30.42619,120.15741
30.42565,120.15741
30.42559,120.15615
30.4255,120.15606
30.42471,120.15587
30.42457,120.15576
30.4246,120.15503
30.42467,120.1529
30.42478,120.15261
30.4253,120.15268
30.42587,120.15297
30.42608,120.15295
30.42645,120.15279
30.42682,120.15251
30.42696,120.15227
30.42718,120.15112
30.4277,120.15066
30.42755,120.15009
30.42839,120.14983
30.42815,120.14906
30.42793,120.14887
30.42758,120.14722
30.42726,120.14719
30.42712,120.14674
30.42735,120.14659
30.42752,120.14669
30.42773,120.14666
30.42789,120.1466
30.42802,120.14643
30.42764,120.14509
30.42704,120.14379
30.42704,120.14344
30.42747,120.14308
30.42814,120.14273
30.42881,120.14269
30.42877,120.14237
30.42885,120.1423
30.42882,120.14207
30.42897,120.14196
30.42887,120.14143
30.42892,120.14104
30.4293,120.14072
30.42939,120.1402
30.42966,120.13992
30.42985,120.13951
30.42997,120.13785
30.42994,120.13731
30.42997,120.13719
30.4302,120.13702
30.43027,120.1368
30.43019,120.13624
30.43027,120.13556
30.43085,120.13549
30.4311,120.1356
30.43141,120.13636
30.43247,120.13558
30.43302,120.13501
30.43585,120.13762
30.43671,120.13861
30.43867,120.14136
30.43939,120.14213
30.44057,120.14315
30.44185,120.14375
30.44328,120.14422
30.44501,120.1446
30.44611,120.14483
30.44817,120.1451
30.45254,120.14534
30.45927,120.14511
30.46057,120.14517
30.46101,120.1452
30.46309,120.14519
30.46355,120.14524
30.46575,120.14547
30.46985,120.14575
30.47073,120.14804
30.47155,120.15193
30.47216,120.15571
30.47221,120.15587
30.47243,120.15601
30.47299,120.15609
30.47333,120.1567
30.47346,120.15672
30.47386,120.15653
30.47417,120.15653
30.47428,120.1567
30.47423,120.15716
30.4745,120.15736
30.47516,120.15679
30.47532,120.15688
30.47562,120.15737
30.47609,120.15935
30.47594,120.15945
30.47581,120.15967
30.47515,120.16
30.47488,120.16102
30.47501,120.16126
30.47517,120.16121
30.47578,120.16049
30.47588,120.16058
30.476,120.16098
30.47666,120.16074
30.47682,120.16097
30.47703,120.16154
30.477,120.16162
30.47619,120.16192
30.47559,120.16234
30.47651,120.16624
30.47699,120.16758
30.47745,120.1683
30.4777,120.16844
30.47817,120.16819
30.47836,120.16842
30.47944,120.17115
30.4797,120.17229
30.47971,120.17284
30.48044,120.17459
30.48066,120.1746
30.48095,120.17446
30.4815,120.17389
30.48399,120.1708
30.48595,120.16872
30.48638,120.16841
30.4865,120.16843
30.48671,120.16869
30.48737,120.16986
30.4872,120.17015
30.48724,120.17031
30.48747,120.17043
30.48788,120.17121
30.48771,120.17154
30.4877,120.17188
30.48688,120.17283
30.48664,120.17295
30.48637,120.17298
30.48594,120.17348
30.48562,120.1737
30.48554,120.17394
30.48572,120.17409
30.48573,120.1742
30.48453,120.17549
30.48408,120.17563
30.48338,120.17657
30.48303,120.17689
30.4828,120.1774
30.4824,120.17791
30.4826,120.17792
30.4831,120.17721
30.48333,120.177
30.48345,120.17708
30.48357,120.17735
30.4837,120.17732
30.4839,120.17709
30.48387,120.17669
30.48428,120.17633
30.48445,120.17649
30.48451,120.1767
30.48444,120.17685
30.48426,120.17698
30.4845,120.17743
30.48497,120.17817
30.48537,120.17815
30.48583,120.17891
30.48589,120.17891
30.48605,120.17868
30.48603,120.17842
30.4863,120.17837
30.48661,120.17852
30.48671,120.17845
30.48675,120.17826
30.48669,120.17806
30.48675,120.17794
30.48726,120.17737
30.48752,120.17746
30.48761,120.17741
30.48755,120.17709
30.48791,120.17672
30.48761,120.17621
30.48742,120.17561
30.48751,120.17546
30.4879,120.17518
30.48779,120.17498
30.4879,120.17483
30.48775,120.17465
30.48745,120.17478
30.48737,120.17474
30.48727,120.17457
30.48744,120.17431
30.48734,120.17405
30.48738,120.17395
30.48791,120.17344
30.48834,120.17414
30.48849,120.17416
30.4895,120.17311
30.49006,120.17375
30.4902,120.17376
30.49035,120.17368
30.49067,120.17339
30.49261,120.17119
30.49373,120.16966
30.49416,120.16919
30.49439,120.16899
30.49466,120.16916
30.49489,120.16941
30.49559,120.17051
30.49619,120.17185
30.49625,120.17217
30.49564,120.17297
30.49437,120.17425
30.49426,120.17452
30.49542,120.1761
30.49526,120.17653
30.49508,120.17668
30.49505,120.17679
30.49658,120.17879
30.49655,120.1789
30.4959,120.17928
30.4959,120.17955
30.49605,120.17984
30.49704,120.18136
30.49749,120.18084
30.49734,120.18058
30.49754,120.18021
30.49786,120.18031
30.49831,120.17996
30.49826,120.17968
30.49838,120.17954
30.49837,120.17931
30.4986,120.1789
30.49837,120.17838
30.49837,120.17827
30.49863,120.17797
30.49847,120.17734
30.49907,120.17668
30.49933,120.17733
30.49961,120.17771
30.49994,120.17839
30.50008,120.17841
30.50054,120.17826
30.50077,120.17846
30.5009,120.17823
30.50133,120.17812
30.50175,120.17774
30.50177,120.17757
30.50204,120.17745
30.50251,120.17814
30.50279,120.17825
30.50307,120.17817
30.50368,120.17919
30.50365,120.17935
30.50387,120.17975
30.50394,120.17968
30.50403,120.17972
30.50443,120.18042
30.50474,120.18041
30.50508,120.18009
30.50521,120.18007
30.50534,120.18014
30.5056,120.18051
30.50579,120.181
30.5058,120.18134
30.50531,120.18229
30.50529,120.18253
30.50634,120.18476
30.50684,120.18551
30.5058,120.18736
30.50544,120.18788
30.50473,120.18876
30.50443,120.18925
30.50442,120.18943
30.50452,120.18966
30.50489,120.18994
30.50545,120.19024
30.50602,120.19042
30.50839,120.19121
30.51024,120.19229
30.51379,120.19369
30.51541,120.19444
30.51692,120.19528
30.51704,120.19559
30.51679,120.19613
30.51495,120.19667
30.51382,120.19714
30.51285,120.19718
30.51169,120.1974
30.51119,120.19763
30.50793,120.19879
30.50723,120.19912
30.50703,120.19929
30.5073,120.20027
30.50805,120.20205
30.50905,120.20412
30.50963,120.20606
30.51059,120.20572
30.51169,120.20554
30.51187,120.20619
30.51179,120.2068
30.51,120.20742
30.51025,120.20849
30.51042,120.20995
30.51042,120.21778
30.51049,120.2195
30.5105,120.22327
30.51059,120.22334
30.51096,120.22342
30.51181,120.22344
30.51203,120.22365
30.51208,120.22387
30.51202,120.22409
30.51164,120.22435
30.51157,120.22448
30.51171,120.22522
30.51182,120.22536
