lat,lon
28.1212,120.75906
28.12087,120.75891
28.1204,120.75813
28.11998,120.75817
28.11987,120.75827
28.11974,120.75869
28.11951,120.75893
28.1195,120.75913
28.11924,120.75959
28.11919,120.75984
28.11879,120.76045
28.1181,120.76202
28.11791,120.76223
28.11771,120.76231
28.117,120.76201
28.11668,120.76179
28.11653,120.76183
28.11624,120.76158
28.11615,120.76134
28.11592,120.76132
28.11579,120.76117
28.11564,120.76118
28.1155,120.76094
28.11524,120.76098
28.11492,120.76069
28.11484,120.76038
28.11461,120.76042
28.11448,120.76017
28.11417,120.76012
28.11381,120.75963
28.11333,120.75985
28.1133,120.76013
28.11311,120.76023
28.11306,120.76043
28.11277,120.76056
28.11262,120.76072
28.11228,120.76157
28.11218,120.76168
28.11208,120.76166
28.11117,120.76093
28.11105,120.76055
28.11104,120.76022
28.11077,120.7598
28.11028,120.75929
28.10863,120.75878
28.10829,120.75841
28.1081,120.75774
28.10795,120.75747
28.10778,120.7567
28.10767,120.75653
28.10727,120.75454
28.10718,120.75327
28.10703,120.75281
28.10685,120.75254
28.10626,120.75232
28.10564,120.75235
28.10447,120.75035
28.10465,120.75011
28.10546,120.74959
28.10553,120.74917
28.10628,120.7484
28.10671,120.74837
28.10716,120.7485
28.10722,120.74843
28.10749,120.74844
28.10756,120.74836
28.10787,120.74843
28.10825,120.74825
28.10864,120.74794
28.10918,120.74805
28.10937,120.74801
28.10949,120.74789
28.10995,120.74689
28.11029,120.74647
28.11052,120.74666
28.11153,120.74674
28.11135,120.74596
28.11108,120.74559
28.11023,120.74545
28.10929,120.74496
28.10869,120.74395
28.10914,120.74315
28.11028,120.7416
28.11068,120.74122
28.11113,120.74103
28.11032,120.73976
28.11023,120.73936
28.11039,120.739
28.11087,120.73837
28.11133,120.73805
28.11147,120.73807
28.11198,120.7386
28.11222,120.73842
28.11237,120.73817
28.11252,120.73788
28.11265,120.73732
28.11253,120.73665
28.11236,120.7362
28.11203,120.73591
28.11177,120.73588
28.112,120.73542
28.1121,120.73455
28.11251,120.73436
28.11274,120.73417
28.11256,120.73371
28.1126,120.73344
28.1135,120.73227
28.11326,120.73157
28.11327,120.73084
28.11271,120.72996
28.11287,120.72957
28.11336,120.72876
28.11345,120.72812
28.11356,120.72801
28.11359,120.72797
28.11357,120.72858
28.11388,120.72879
28.114,120.72917
28.11445,120.72924
28.11464,120.72969
28.11478,120.72956
28.11469,120.72912
28.11536,120.72844
28.11629,120.72779
28.11633,120.72827
28.11618,120.7288
28.11663,120.72887
28.1166,120.72935
28.11669,120.72972
28.11676,120.72983
28.11683,120.72981
28.11692,120.72946
28.11677,120.7291
28.11682,120.72902
28.11698,120.72899
28.11724,120.72846
28.11733,120.72892
28.11753,120.72904
28.11752,120.72942
28.1178,120.72955
28.11783,120.72977
28.11826,120.72972
28.11856,120.72959
28.11867,120.72974
28.11874,120.72972
28.11904,120.72937
28.11927,120.72886
28.11929,120.72847
28.11905,120.72768
28.11925,120.72633
28.11924,120.72602
28.11833,120.72572
28.11811,120.72549
28.11804,120.72553
28.11758,120.72513
28.11873,120.72457
28.11928,120.72411
28.12001,120.7242
28.12026,120.72411
28.12092,120.72424
28.12111,120.72417
28.12155,120.72371
28.12187,120.72309
28.12248,120.72218
28.12255,120.72157
28.12282,120.72088
28.12282,120.72082
28.12205,120.72093
28.12,120.72132
28.1193,120.72129
28.11899,120.72119
28.11868,120.72096
28.11866,120.72083
28.11941,120.71959
28.12009,120.71802
28.12067,120.7165
28.12087,120.71555
28.12092,120.71547
28.12144,120.71565
28.12148,120.71548
28.12105,120.71535
28.11983,120.7144
28.11954,120.71433
28.11932,120.71444
28.11888,120.71419
28.11892,120.71364
28.11883,120.71331
28.11871,120.71314
28.11829,120.71291
28.11816,120.71238
28.11955,120.7133
28.12004,120.71269
28.12028,120.71253
28.12115,120.71231
28.12143,120.71237
28.12151,120.71248
28.12161,120.71246
28.12184,120.71217
28.12199,120.71232
28.12201,120.7126
28.12215,120.71289
28.12315,120.71298
28.12345,120.713
28.12475,120.7124
28.12481,120.71238
28.12416,120.71036
28.12324,120.70838
28.12166,120.70529
28.11949,120.70184
28.11872,120.70088
28.11878,120.70081
28.1197,120.69982
28.11959,120.69957
28.11971,120.69932
28.11977,120.69884
28.12044,120.69827
28.12064,120.69839
28.12079,120.69809
28.12049,120.69776
28.12049,120.69713
28.12152,120.69686
28.12264,120.69635
28.12346,120.69586
28.12371,120.6958
28.1238,120.69618
28.12269,120.69676
28.12217,120.69733
28.12207,120.69824
28.12224,120.69846
28.12244,120.69857
28.12339,120.69785
28.12366,120.698
28.12376,120.69785
28.12349,120.69762
28.1236,120.69754
28.12443,120.69731
28.12503,120.69732
28.12642,120.69666
28.12659,120.6965
28.12736,120.69527
28.12638,120.6944
28.12704,120.69386
28.12676,120.69342
28.12637,120.69383
28.12627,120.69369
28.12571,120.69159
28.12552,120.69115
28.12533,120.69106
28.12524,120.69108
28.12516,120.69121
28.12512,120.69195
28.12559,120.69341
28.12502,120.69426
28.12464,120.69442
28.12449,120.69425
28.12452,120.69409
28.12495,120.69378
28.12499,120.69353
28.12475,120.69322
28.12435,120.69292
28.124,120.69336
28.12353,120.69354
28.12319,120.69346
28.1241,120.69245
28.12487,120.69134
28.12503,120.69096
28.125,120.69044
28.12462,120.68954
28.1248,120.68815
28.12501,120.68802
28.12514,120.68829
28.1253,120.68828
28.12534,120.68818
28.12519,120.68793
28.12518,120.68769
28.12541,120.68746
28.12561,120.68753
28.12553,120.68786
28.12574,120.68785
28.12573,120.68805
28.1258,120.68812
28.12622,120.68778
28.12625,120.68754
28.1256,120.68723
28.12544,120.68705
28.12547,120.68691
28.12569,120.68669
28.12589,120.68664
28.12634,120.68635
28.12664,120.68655
28.12708,120.68658
28.12702,120.68626
28.12687,120.68612
28.12669,120.68608
28.12702,120.68579
28.12693,120.68569
28.12662,120.68588
28.12646,120.68609
28.12633,120.68611
28.12611,120.68585
28.12604,120.68599
28.12611,120.68621
28.12606,120.68634
28.12577,120.68647
28.12574,120.6857
28.1259,120.68508
28.12566,120.68469
28.12565,120.68454
28.12571,120.68441
28.12604,120.68421
28.12631,120.68443
28.12653,120.68422
28.12687,120.68425
28.12693,120.68408
28.12691,120.68394
28.12638,120.68395
28.12624,120.6838
28.12624,120.68326
28.12594,120.68327
28.12582,120.68314
28.12572,120.68276
28.12589,120.68239
28.12553,120.68225
28.12531,120.68205
28.12511,120.68162
28.12495,120.68147
28.12425,120.67946
28.12413,120.67929
28.12403,120.67952
28.12392,120.68037
28.1232,120.68024
28.12294,120.67958
28.1228,120.67958
28.1227,120.67996
28.12259,120.68002
28.12237,120.67906
28.12236,120.67864
28.1221,120.67827
28.12274,120.67791
28.12317,120.67743
28.12318,120.67705
28.123,120.67669
28.12268,120.67626
28.12259,120.67576
28.12215,120.67538
28.12207,120.67503
28.1218,120.6745
28.12084,120.67414
28.11956,120.67303
28.11932,120.67265
28.1193,120.6725
28.1193,120.67235
28.11952,120.67229
28.11948,120.67202
28.1194,120.6715
28.11974,120.67136
28.11979,120.67124
28.11955,120.671
28.1196,120.67085
28.12047,120.67084
28.12063,120.67076
28.12084,120.67049
28.12103,120.67049
28.12101,120.67031
28.12083,120.6703
28.12052,120.67009
28.12005,120.66965
28.12013,120.66957
28.12051,120.66967
28.12052,120.6696
28.12035,120.66948
28.12004,120.66933
28.12006,120.66924
28.12036,120.66928
28.12034,120.66919
28.11948,120.66876
28.11874,120.6686
28.1181,120.66825
28.11808,120.66816
28.1182,120.668
28.11886,120.6677
28.11927,120.66716
28.11949,120.66707
28.11914,120.66687
28.11854,120.66711
28.11841,120.6668
28.11894,120.66636
28.11862,120.6663
28.11837,120.6661
28.1182,120.66565
28.118,120.6657
28.1177,120.66555
28.11761,120.66543
28.11762,120.66526
28.11807,120.66493
28.11845,120.66502
28.1187,120.66468
28.11879,120.66425
28.11889,120.66414
28.11878,120.66383
28.11861,120.66375
28.11831,120.66334
28.11828,120.66287
28.11815,120.6626
28.11767,120.66237
28.11733,120.66203
28.11662,120.66152
28.11629,120.6605
28.11601,120.66004
28.1156,120.65972
28.11507,120.65868
28.1143,120.65764
28.11398,120.65679
28.11377,120.65659
28.1128,120.65649
28.11171,120.65521
28.11167,120.6549
28.11176,120.65371
28.11163,120.65342
28.1118,120.65333
28.11197,120.65349
28.11208,120.65348
28.11214,120.65332
28.11174,120.65189
28.11193,120.65123
28.1118,120.65078
28.11191,120.65032
28.11269,120.65036
28.11279,120.6507
28.11289,120.65081
28.11301,120.65081
28.11311,120.65033
28.1133,120.65012
28.11349,120.65004
28.11367,120.64974
28.11319,120.64954
28.11243,120.64954
28.11219,120.64938
28.11213,120.64915
28.11233,120.64875
28.11173,120.64854
28.11161,120.64859
28.11153,120.6488
28.11136,120.64886
28.11128,120.64807
28.11114,120.64808
28.11097,120.64821
28.11092,120.64783
28.11127,120.64743
28.11121,120.64735
28.11129,120.64712
28.11124,120.64648
28.11154,120.64634
28.11172,120.64637
28.11181,120.64631
28.11199,120.64584
28.11236,120.64583
28.11243,120.64568
28.11256,120.64564
28.11277,120.64565
28.11307,120.64595
28.11435,120.64664
28.11438,120.64683
28.11481,120.64708
28.11541,120.64711
28.1158,120.64703
28.11594,120.64656
28.11619,120.64635
28.1163,120.64704
28.11642,120.64695
28.11671,120.64695
28.11835,120.64705
28.11834,120.64663
28.11894,120.6464
28.11931,120.64614
28.11933,120.64589
28.11862,120.64555
28.11849,120.64537
28.11855,120.64512
28.1191,120.64506
28.1198,120.64517
28.12011,120.64528
28.12028,120.64519
28.12049,120.64542
28.12058,120.64544
28.12086,120.64535
28.12103,120.6452
28.12103,120.64486
28.12081,120.64459
28.1202,120.64427
28.11986,120.64394
28.1193,120.64323
28.11873,120.64235
28.11827,120.64215
28.1178,120.64209
28.11771,120.64197
28.118,120.64096
28.1184,120.6404
28.11874,120.64031
28.11894,120.64052
28.11932,120.64023
28.11943,120.64047
28.11962,120.64061
28.11996,120.64062
28.12026,120.64029
28.1208,120.63992
28.12105,120.63915
28.12184,120.6387
28.12249,120.63876
28.1229,120.63858
28.12325,120.63828
28.12335,120.63812
28.12344,120.63715
28.12354,120.637
28.12372,120.63699
28.12394,120.6371
28.12426,120.63736
28.12456,120.6372
28.12457,120.63765
28.12493,120.63747
28.12519,120.6377
28.12532,120.63792
28.12552,120.63771
28.12582,120.63769
28.12547,120.63736
28.12549,120.63683
28.12508,120.63682
28.12492,120.63665
28.12447,120.63656
28.12441,120.63642
28.12448,120.63628
28.12429,120.63612
28.1248,120.63579
28.12519,120.6357
28.12526,120.63513
28.125,120.63481
28.125,120.63442
28.12504,120.63438
