lat,lon
31.10863,119.77161
31.10846,119.77186
31.10838,119.77223
31.10749,119.7724
31.10734,119.77249
31.10677,119.77462
31.10677,119.77511
31.10708,119.77584
31.10721,119.77675
31.10693,119.7778
31.10696,119.77854
31.10682,119.77937
31.10693,119.78086
31.10687,119.78108
31.10664,119.78143
31.10639,119.78166
31.10507,119.78245
31.10469,119.78279
31.10394,119.78364
31.10201,119.78502
31.10072,119.7853
31.10034,119.78549
31.09966,119.78644
31.09896,119.78758
31.09887,119.78831
31.09951,119.78882
31.09998,119.78898
31.10033,119.78926
31.10051,119.78984
31.10055,119.79013
31.09988,119.79156
31.09978,119.79237
31.09863,119.79168
31.09784,119.79075
31.09741,119.79073
31.09617,119.7901
31.0957,119.7897
31.09523,119.78979
31.09468,119.79006
31.0943,119.79007
31.09406,119.79016
31.09369,119.79056
31.09256,119.79053
31.09234,119.79061
31.09205,119.79002
31.09207,119.78922
31.09224,119.7886
31.09221,119.78822
31.09231,119.7877
31.09228,119.78652
31.09248,119.78387
31.09246,119.78337
31.09224,119.7828
31.09222,119.7821
31.09208,119.78188
31.09156,119.78142
31.09068,119.78095
31.09032,119.78053
31.09009,119.78013
31.08978,119.77861
31.08978,119.77799
31.09066,119.77591
31.09078,119.77501
31.09106,119.77423
31.09034,119.77424
31.08927,119.77449
31.08865,119.77473
31.08853,119.77472
31.08745,119.7738
31.08595,119.77323
31.08453,119.77298
31.08437,119.77274
31.08422,119.77176
31.08369,119.77074
31.08217,119.76968
31.08088,119.76855
31.08054,119.76893
31.08011,119.76916
31.08003,119.76969
31.07936,119.77052
31.07889,119.77077
31.07762,119.77101
31.07724,119.77095
31.07663,119.77071
31.07604,119.77083
31.07484,119.77052
31.07326,119.77081
31.07138,119.77141
31.07031,119.77196
31.06971,119.77215
31.06915,119.77218
31.06888,119.77211
31.06739,119.77073
31.06652,119.77021
31.06562,119.76987
31.06507,119.76972
31.06479,119.76972
31.06438,119.77007
31.063,119.77245
31.06263,119.77276
31.06224,119.77294
31.06179,119.77305
31.06022,119.77309
31.05963,119.77303
31.05901,119.77315
31.05897,119.77164
31.05879,119.77175
31.05846,119.77168
31.05834,119.7714
31.05824,119.77142
31.05823,119.77127
31.05691,119.77203
31.05668,119.77198
31.05663,119.77191
31.05672,119.7716
31.0571,119.77097
31.05738,119.77023
31.05796,119.76978
31.05982,119.76865
31.06119,119.76674
31.06268,119.76514
31.06453,119.76253
31.06508,119.76223
31.06766,119.76196
31.06759,119.76171
31.06741,119.76148
31.06726,119.76145
31.06717,119.76122
31.06726,119.76108
31.06721,119.76078
31.06715,119.76061
31.06696,119.76051
31.06708,119.76047
31.06712,119.76023
31.06755,119.76018
31.0676,119.76005
31.0676,119.7598
31.06743,119.75946
