lat,lon
29.75662,120.8794
29.75627,120.87923
29.75503,120.87905
29.75426,120.87909
29.75364,120.87875
29.75258,120.87789
29.75232,120.87779
29.75221,120.87915
29.75237,120.87937
29.75273,120.87963
29.75337,120.88031
29.75346,120.88064
29.75324,120.88085
29.75277,120.88103
29.75224,120.88156
29.75215,120.88202
29.75179,120.88212
29.75118,120.88257
29.75091,120.88297
29.75081,120.88383
29.75049,120.88408
29.75008,120.88465
29.7497,120.88504
29.74942,120.88545
29.74926,120.88602
29.74912,120.88602
29.74891,120.88587
29.7483,120.88525
29.74845,120.88328
29.74869,120.88276
29.74854,120.88228
29.7484,120.88224
29.74761,120.88266
29.74719,120.8827
29.7471,120.88263
29.74771,120.88208
29.74775,120.88189
29.74765,120.88088
29.7486,120.87854
29.74837,120.87729
29.7484,120.87669
29.74805,120.87639
29.74772,120.87592
29.74789,120.8758
29.74766,120.87446
29.74751,120.87239
29.7472,120.87186
29.74736,120.87085
29.74718,120.86967
29.74756,120.86827
29.74729,120.86708
29.74782,120.86448
29.74772,120.86387
29.7477,120.86354
29.74782,120.8632
29.74842,120.86302
29.74856,120.86231
29.74873,120.86201
29.74904,120.86156
29.75006,120.86042
29.75247,120.85901
29.75408,120.858
29.75506,120.85719
29.75534,120.85686
29.75558,120.85634
29.75569,120.85587
29.75556,120.85389
29.75568,120.85333
29.75635,120.85268
29.75631,120.85225
29.75669,120.85224
29.75709,120.8524
29.75754,120.85123
29.75808,120.85007
29.75842,120.84948
29.75895,120.84906
29.7594,120.84873
29.75995,120.84839
29.7601,120.84838
29.76044,120.84846
29.7608,120.84871
29.76038,120.8502
29.76004,120.85106
29.7598,120.85098
29.75972,120.85045
29.75946,120.85047
29.75897,120.85142
29.75892,120.85241
29.7597,120.85247
29.75969,120.85268
29.75955,120.85319
29.75936,120.85344
29.75841,120.85386
29.75798,120.85605
29.75791,120.85698
29.7594,120.85791
29.75965,120.85798
29.76021,120.85796
29.76266,120.8604
29.76319,120.86018
29.76247,120.85913
29.76237,120.85882
29.76228,120.85801
29.76153,120.85688
29.76169,120.85668
29.76196,120.8566
29.76327,120.85654
29.76397,120.8567
29.76444,120.857
29.76458,120.85721
29.76491,120.85812
29.76518,120.85989
29.76512,120.86082
29.76516,120.86175
29.76577,120.86265
29.76608,120.86357
29.7661,120.86472
29.76621,120.86518
29.76655,120.86548
29.76725,120.86658
29.76745,120.86672
29.76778,120.86681
29.76867,120.86702
29.7697,120.8669
29.76992,120.86676
29.7704,120.86586
29.77111,120.86463
29.7712,120.86391
29.77165,120.86232
29.77141,120.86191
29.77129,120.86141
29.77128,120.86107
29.77141,120.86045
29.7712,120.85978
29.771,120.85953
29.77045,120.85913
29.76955,120.85871
29.76952,120.85861
29.76973,120.8583
29.76974,120.85798
29.76926,120.85732
29.76913,120.85694
29.76913,120.85675
29.76969,120.85532
29.76973,120.85488
29.77017,120.85409
29.77003,120.85305
29.7723,120.85266
29.77374,120.85254
29.77602,120.85239
29.77825,120.85243
29.77921,120.85251
29.78035,120.85247
29.78438,120.85202
29.78435,120.85078
29.78451,120.85028
29.78365,120.84873
29.78337,120.84806
29.78397,120.84775
29.78497,120.84808
29.78518,120.848
29.7853,120.84782
29.78568,120.84789
29.78575,120.84777
29.78596,120.84605
29.7861,120.84575
29.78642,120.84564
29.78755,120.84613
29.78819,120.84633
29.78962,120.8464
29.79061,120.84659
29.79073,120.84652
29.79084,120.8463
29.79097,120.84571
29.79111,120.84564
29.79157,120.84544
29.79179,120.84503
29.79191,120.845
29.79204,120.84504
29.79218,120.84523
29.79236,120.84562
29.7926,120.84575
29.79279,120.84574
29.79303,120.84504
29.7938,120.84456
29.79471,120.84354
29.79535,120.84267
29.79567,120.84245
29.79655,120.84214
29.79668,120.84256
29.79683,120.8426
29.7972,120.84213
29.79811,120.84133
29.7986,120.84105
29.79921,120.84118
29.79923,120.84104
29.79898,120.84075
29.79896,120.84047
29.79939,120.83985
29.80017,120.83939
29.80077,120.83919
29.8008,120.83893
29.80093,120.83872
29.80139,120.83857
29.80163,120.83838
29.80218,120.83826
29.80249,120.83771
29.80382,120.83688
29.80474,120.83615
29.80507,120.83585
29.80532,120.83596
29.8056,120.83704
29.80576,120.8374
29.80646,120.83833
29.80667,120.83834
29.80726,120.8381
29.80756,120.83837
29.80794,120.83762
29.80803,120.83779
29.8078,120.83834
29.80783,120.8388
29.81026,120.83895
29.81023,120.83925
29.81012,120.83939
29.80955,120.83959
29.80941,120.83985
29.80938,120.84032
29.81087,120.84044
29.81123,120.84028
29.81152,120.84028
29.81223,120.84067
29.81234,120.84043
29.81252,120.83918
29.81226,120.83827
29.81225,120.83788
29.81234,120.83776
29.81266,120.83764
29.81269,120.83728
29.813,120.83678
29.81323,120.83659
29.81408,120.83642
29.81427,120.83642
29.81466,120.83662
29.81485,120.83655
29.81495,120.83647
29.81535,120.83499
29.81585,120.83475
29.81663,120.83466
29.81727,120.8341
29.81776,120.83394
29.81804,120.83394
29.81827,120.83392
29.81913,120.83352
29.81933,120.83351
29.8196,120.83434
29.81991,120.83491
29.82106,120.83443
29.82165,120.83351
29.82208,120.83299
29.82317,120.83316
29.82413,120.83299
29.82499,120.83357
29.82604,120.83457
29.82724,120.83557
29.82905,120.83673
29.83027,120.8374
29.83094,120.83773
29.83157,120.83827
29.832,120.83869
29.83221,120.83838
29.83143,120.83678
29.83149,120.83578
29.83138,120.83483
29.83096,120.83424
29.83085,120.83378
29.8308,120.83303
29.83065,120.83271
29.83029,120.83231
29.83011,120.83198
29.82948,120.82996
29.8292,120.82964
29.82911,120.82921
29.8292,120.82824
29.82931,120.82789
29.82958,120.82743
29.82959,120.8267
29.82989,120.82587
29.82993,120.82407
29.82987,120.82335
29.82906,120.8214
29.82926,120.82087
29.83002,120.8198
29.83004,120.81929
29.82983,120.81867
29.82968,120.81759
29.82967,120.81663
29.82972,120.81644
29.83025,120.81565
29.83047,120.81517
29.83048,120.81457
29.83042,120.81443
29.83008,120.81412
29.82999,120.81349
29.83003,120.81328
29.83044,120.81277
29.83021,120.81187
29.83027,120.81015
29.83038,120.80981
29.83109,120.80921
29.83111,120.80849
29.83156,120.80829
29.83243,120.80827
29.83265,120.80818
29.83338,120.80738
29.83357,120.80729
29.83372,120.80733
29.83441,120.8074
29.83462,120.80748
29.83514,120.80795
29.83566,120.80797
29.83593,120.80807
29.83662,120.80893
29.8369,120.80908
29.8371,120.80909
29.8377,120.80885
29.83799,120.8098
29.83821,120.80997
29.83934,120.80998
29.84042,120.80982
29.84069,120.80986
29.84089,120.81015
29.8411,120.81017
29.84179,120.81048
29.84244,120.81062
29.843,120.81069
29.84343,120.8105
29.84375,120.81045
29.84485,120.81054
29.84503,120.81069
29.84563,120.81097
29.84573,120.81135
29.84581,120.81141
29.84606,120.81138
29.84615,120.81147
29.84631,120.81184
29.84642,120.81262
29.84675,120.8129
29.84702,120.81367
29.84823,120.81511
29.84881,120.81597
29.84905,120.81605
29.84905,120.81698
29.84895,120.81775
29.84906,120.81815
29.84959,120.81866
29.85008,120.81886
29.85054,120.81897
29.85111,120.81891
29.85083,120.81921
29.85073,120.82005
29.85127,120.82163
29.85195,120.82178
29.85345,120.82166
29.85357,120.82178
29.854,120.8227
29.8541,120.82314
29.85371,120.82337
29.85322,120.82425
29.85261,120.82483
29.85235,120.82521
29.85224,120.8255
29.85209,120.8266
29.85239,120.82751
29.85214,120.82788
29.85179,120.82804
29.8516,120.82826
29.85102,120.82838
29.85067,120.82872
29.85068,120.82906
29.85135,120.83006
29.85093,120.82997
29.85043,120.83
29.84984,120.83042
29.84948,120.83105
29.84948,120.83129
29.84981,120.83149
29.8497,120.83217
29.84958,120.83232
29.8493,120.83244
29.8487,120.83203
29.84789,120.83188
29.84746,120.83197
29.84714,120.83217
29.84694,120.83243
29.84675,120.83285
29.84652,120.83368
29.84659,120.83438
29.84641,120.83566
29.84644,120.83635
29.84653,120.83653
29.84692,120.83655
29.84705,120.83672
29.84712,120.83709
29.84724,120.8374
29.84743,120.83763
29.84772,120.83852
29.84808,120.83873
29.84838,120.83872
29.84863,120.83901
29.84785,120.8395
29.84719,120.83903
29.84651,120.83816
29.84488,120.83812
29.84429,120.83818
29.84383,120.83866
29.84373,120.83898
29.84401,120.83911
29.8441,120.83926
29.84405,120.83967
29.84456,120.8394
29.8446,120.84034
29.84499,120.84011
29.84506,120.84135
29.84567,120.84268
29.84603,120.84346
29.84599,120.84368
29.84566,120.84412
29.84457,120.84525
29.84174,120.84791
29.8389,120.85159
29.83634,120.85566
29.83599,120.85662
29.83571,120.85811
29.83549,120.85962
29.83521,120.86274
29.8348,120.86626
29.83463,120.86671
29.83423,120.8671
29.83328,120.86767
29.83238,120.86874
29.83199,120.86918
29.83123,120.86919
29.82994,120.86908
29.82948,120.86921
29.82858,120.8697
29.82657,120.87163
29.82627,120.87214
29.82607,120.87332
29.82617,120.87393
29.82656,120.87477
29.82695,120.87534
29.8273,120.87554
29.82747,120.87548
29.8279,120.8755
29.82863,120.8759
29.83002,120.87726
29.83153,120.87906
29.83177,120.88031
29.83199,120.88098
29.83328,120.88263
29.83375,120.88361
29.83401,120.88389
29.83424,120.88402
29.835,120.88411
29.83561,120.88441
29.83615,120.88502
29.83647,120.88568
29.83719,120.88607
29.83749,120.88636
29.83764,120.88634
29.83776,120.88588
29.83784,120.88586
29.84115,120.88788
29.84801,120.89154
29.84819,120.89168
29.84856,120.89228
29.84914,120.89269
29.84961,120.89288
29.85044,120.89283
29.85102,120.8925
29.85165,120.89238
29.8528,120.89274
29.85313,120.89335
29.85323,120.89385
29.85409,120.89531
29.85433,120.89542
29.85501,120.89541
29.85513,120.89549
29.85534,120.89576
29.85592,120.89715
29.85653,120.89755
29.85726,120.8977
29.85745,120.89783
29.85789,120.8984
29.85818,120.89861
29.85835,120.89864
29.85924,120.89753
29.86024,120.89674
29.86113,120.89749
29.86151,120.8976
29.86182,120.89754
