lat,lon
30.42826,122.92952
30.42822,122.92747
30.42832,122.92684
30.42868,122.92636
30.42916,122.92615
30.42959,122.92613
30.42996,122.92631
30.43048,122.92694
30.43076,122.92762
30.43088,122.92831
30.43075,122.92934
30.43055,122.93029
30.43031,122.93086
30.42997,122.93115
30.42946,122.93123
30.42895,122.93113
30.42858,122.93075
30.42836,122.93014
30.42826,122.92952
30.71643,122.83402
30.70617,122.83572
30.70356,122.83531
30.70211,122.83414
30.70108,122.83208
30.70136,122.82919
30.70301,122.82665
30.70603,122.82473
30.71152,122.8226
30.71263,122.82138
30.71352,122.8204
30.71462,122.81724
30.71489,122.81436
30.71434,122.81044
30.71445,122.80952
30.71482,122.80653
30.71681,122.80344
30.72169,122.79959
30.72382,122.79918
30.72463,122.79962
30.72533,122.8
30.73522,122.81037
30.73577,122.8112
30.7357,122.81237
30.7344,122.81319
30.73275,122.81353
30.73211,122.81428
30.73192,122.81449
30.73124,122.81848
30.73144,122.8202
30.73206,122.82287
30.73206,122.82459
30.73089,122.82686
30.7276,122.82933
30.72155,122.83263
30.71778,122.8338
30.71643,122.83402
30.43582,122.93048
30.43655,122.93134
30.43677,122.9318
30.43698,122.93276
30.43715,122.93287
30.43743,122.93286
30.43991,122.93141
30.44054,122.93121
30.44124,122.9312
30.44182,122.93139
30.44213,122.93178
30.44217,122.93239
30.44156,122.93448
30.44124,122.93521
30.43981,122.9367
30.43913,122.93715
30.43826,122.93747
30.43806,122.93774
30.43783,122.93811
30.43746,122.9382
30.43704,122.93791
30.43653,122.93721
30.43556,122.93582
30.43304,122.93271
30.43271,122.93237
30.4326,122.93198
30.43273,122.93148
30.43304,122.9312
30.43474,122.93043
30.43514,122.93027
30.43553,122.93028
30.43582,122.93048
30.43898,122.93817
30.43932,122.93813
30.4398,122.93824
30.44046,122.93865
30.44087,122.9391
30.44113,122.93963
30.44125,122.94033
30.44122,122.94069
30.44094,122.94107
30.43982,122.94204
30.43948,122.94215
30.43908,122.94208
30.43877,122.94186
30.4386,122.94148
30.43856,122.94106
30.43865,122.93882
30.43876,122.93839
30.43898,122.93817
30.79202,122.77854
30.79284,122.77911
30.79308,122.78001
30.7927,122.78071
30.79263,122.78095
30.79263,122.78122
30.79289,122.78172
30.79309,122.78238
30.79314,122.78299
30.79299,122.78357
30.79241,122.78454
30.79188,122.78505
30.79175,122.78526
30.79183,122.78594
30.79156,122.78633
30.79112,122.78657
30.79083,122.78672
30.79069,122.78694
30.7904,122.7875
30.79011,122.78754
30.78986,122.78704
30.78964,122.78609
30.78962,122.7856
30.78938,122.78517
30.78904,122.78497
30.78863,122.7849
30.78824,122.78497
30.7878,122.78517
30.78712,122.78575
30.78705,122.78604
30.7872,122.78735
30.78712,122.78767
30.78627,122.78893
30.78606,122.78898
30.78538,122.78898
30.78339,122.79002
30.78232,122.79087
30.78213,122.79086
30.78182,122.79064
30.78163,122.79025
30.78179,122.78979
30.78177,122.78971
30.78168,122.78968
30.78154,122.78971
30.7813,122.78984
30.78018,122.79102
30.78008,122.79102
30.77986,122.79082
30.7798,122.79085
30.77948,122.7914
30.77864,122.7924
30.77793,122.79255
30.77785,122.79251
30.77766,122.79217
30.77754,122.7917
30.77755,122.79161
30.77769,122.79138
30.77773,122.79114
30.77762,122.79074
30.77765,122.79038
30.7779,122.79014
30.77797,122.79005
30.77793,122.78997
30.77786,122.78995
30.77769,122.79
30.77761,122.78996
30.77759,122.78963
30.77778,122.78915
30.77845,122.78813
30.77861,122.78805
30.77903,122.78797
30.77989,122.78801
30.77995,122.78797
30.77995,122.78789
30.77995,122.78762
30.77997,122.7875
30.78017,122.78733
30.78034,122.78748
30.78047,122.78756
30.78065,122.78756
30.78073,122.78749
30.78079,122.78739
30.78077,122.78694
30.78084,122.78622
30.78063,122.78583
30.7801,122.78545
30.78007,122.78535
30.78009,122.78525
30.78016,122.78521
30.78068,122.78509
30.78107,122.78468
30.78125,122.78468
30.78205,122.78533
30.78247,122.78579
30.78273,122.78629
30.78273,122.78649
30.7828,122.78654
30.78289,122.78652
30.78295,122.78643
30.78326,122.78618
30.78351,122.78567
30.78395,122.78496
30.78441,122.78478
30.78532,122.78446
30.78589,122.7845
30.78641,122.7847
30.78667,122.78485
30.78688,122.78489
30.78703,122.78476
30.78714,122.7845
30.787,122.78358
30.7869,122.78294
30.78721,122.78232
30.78748,122.78146
30.78749,122.78051
30.78732,122.78024
30.78681,122.77989
30.78619,122.77969
30.78531,122.77895
30.78512,122.77842
30.78458,122.77787
30.78445,122.7774
30.78453,122.77692
30.785,122.77648
30.78556,122.77404
30.78563,122.77314
30.78575,122.77305
30.78589,122.77306
30.78613,122.77326
30.7864,122.77408
30.7864,122.77444
30.78657,122.77458
30.78675,122.77458
30.78693,122.77451
30.78711,122.77439
30.78797,122.77258
30.78921,122.77174
30.78952,122.77172
30.78954,122.77165
30.78946,122.7711
30.78973,122.77088
30.7903,122.77142
30.79041,122.77143
30.79088,122.77142
30.79211,122.77117
30.79339,122.7712
30.79387,122.77134
30.79394,122.77154
30.79396,122.77172
30.79401,122.77178
30.79425,122.77179
30.79433,122.77186
30.7944,122.77218
30.79427,122.77265
30.79399,122.77285
30.79364,122.77262
30.79279,122.77256
30.79206,122.77282
30.79174,122.77243
30.79159,122.77207
30.79138,122.7721
30.79124,122.77225
30.79121,122.77245
30.79125,122.77277
30.79113,122.77332
30.7908,122.77358
30.79068,122.77396
30.79069,122.77445
30.79048,122.77545
30.79104,122.77648
30.79202,122.77854
30.79074,122.72104
30.79076,122.72066
30.7909,122.72043
30.79101,122.72041
30.79121,122.72049
30.79127,122.72052
30.79133,122.72053
30.7914,122.72048
30.79152,122.72034
30.79158,122.72005
30.79166,122.7198
30.79195,122.7195
30.79205,122.71948
30.79217,122.71955
30.79233,122.71956
30.79259,122.71881
30.79277,122.71861
30.7932,122.71871
30.79324,122.71876
30.79326,122.71885
30.79335,122.7189
30.79347,122.7189
30.7936,122.71885
30.79385,122.71833
30.79391,122.71827
30.79409,122.71821
30.79421,122.71825
30.79453,122.71859
30.79459,122.71871
30.79482,122.71945
30.79483,122.71959
30.79444,122.72058
30.79435,122.72067
30.79406,122.72078
30.79391,122.72078
30.79343,122.7207
30.79335,122.72074
30.79315,122.7215
30.79306,122.72246
30.79262,122.72278
30.79259,122.72284
30.79266,122.72307
30.79262,122.72313
30.79244,122.72317
30.79237,122.72314
30.79218,122.72282
30.79214,122.72281
30.79207,122.72288
30.79207,122.72297
30.79208,122.72327
30.79179,122.72352
30.79176,122.7236
30.7917,122.7241
30.79164,122.72419
30.79142,122.72441
30.79118,122.72455
