lat,lon
28.93558,119.1748
28.93538,119.1746
28.93525,119.17422
28.93447,119.1741
28.93427,119.17418
28.93398,119.17443
28.9338,119.17477
28.93382,119.1751
28.93398,119.17559
28.9339,119.1758
28.9329,119.1764
28.93256,119.17703
28.93218,119.17738
28.93163,119.17744
28.93088,119.1781
28.93023,119.17805
28.92932,119.17792
28.92888,119.17738
28.92792,119.1769
28.92784,119.17675
28.92685,119.17605
28.9258,119.17552
28.9243,119.17492
28.92326,119.17476
28.92318,119.17463
28.92329,119.17379
28.92282,119.17353
28.92273,119.17344
28.92226,119.17266
28.92262,119.17218
28.92267,119.17201
28.92269,119.17155
28.92263,119.17117
28.92251,119.17077
28.92205,119.16989
28.92187,119.16944
28.92169,119.16879
28.92174,119.16864
28.92205,119.1684
28.92189,119.16805
28.92183,119.16769
28.92187,119.16747
28.92197,119.16717
28.92179,119.16682
28.92159,119.16656
28.92136,119.16633
28.92136,119.16616
28.92141,119.16597
28.9215,119.16577
28.9215,119.16561
28.92132,119.1652
28.92129,119.16469
28.92116,119.16408
28.92104,119.16384
28.92089,119.16364
28.92083,119.16342
28.92085,119.16327
28.92096,119.16282
28.92093,119.16176
28.92078,119.16166
28.92046,119.1616
28.92038,119.16156
28.92035,119.16115
28.92039,119.1607
28.92022,119.16006
28.9202,119.15959
28.92032,119.15924
28.92037,119.15915
28.92067,119.15902
28.92071,119.15894
28.92068,119.15875
28.92058,119.15855
28.92023,119.15808
28.92024,119.15791
28.92047,119.15683
28.92032,119.15638
28.92041,119.15621
28.92076,119.15577
28.92081,119.15563
28.92082,119.15552
28.92079,119.1554
28.92069,119.15524
28.92039,119.15494
28.91997,119.15442
28.91996,119.15405
28.91981,119.15374
28.91977,119.15354
28.91982,119.15203
28.91986,119.15163
28.91998,119.1514
28.92002,119.15137
28.92038,119.1513
28.92057,119.15121
28.92065,119.15111
28.9208,119.15089
28.92096,119.15068
28.92092,119.15024
28.9209,119.14995
28.92082,119.14977
28.92059,119.14954
28.92067,119.14915
28.92049,119.14859
28.91984,119.14769
28.91993,119.14614
28.91967,119.14538
28.92013,119.14515
28.92067,119.14461
28.92097,119.14357
28.92106,119.14276
28.92148,119.14253
28.92121,119.14167
28.92077,119.14128
28.92062,119.14034
28.92063,119.13914
28.92022,119.13794
28.92038,119.13752
28.92077,119.137
28.92148,119.13735
28.9225,119.1375
28.92373,119.13796
28.92539,119.13829
28.92627,119.13834
28.92906,119.13829
28.93045,119.13846
28.93092,119.13867
28.93187,119.13961
28.93228,119.13912
28.93243,119.13903
28.93271,119.13899
28.93306,119.13916
28.93335,119.13918
28.93465,119.13825
28.93486,119.13805
28.9349,119.1379
28.93483,119.13677
28.93491,119.13667
28.93588,119.13612
28.93525,119.13465
28.93522,119.13311
28.93495,119.13226
28.93446,119.13195
28.9337,119.1312
28.93313,119.13078
28.93269,119.13022
