lat,lon
29.29776,120.6106
29.29766,120.61026
29.2972,120.60948
29.29713,120.60854
29.29714,120.60831
29.29736,120.60775
29.29743,120.60708
29.29779,120.60561
29.29786,120.6054
29.29823,120.60489
29.29858,120.60396
29.29923,120.60259
29.29938,120.60212
29.29944,120.60084
29.2995,120.60068
29.30034,120.60037
29.30065,120.6002
29.30083,120.59998
29.3011,120.59975
29.30161,120.59885
29.30209,120.59755
29.30222,120.59639
29.30265,120.59693
29.30288,120.59741
29.30257,120.5981
29.30264,120.5983
29.30276,120.59833
29.30283,120.59826
29.3031,120.59768
29.30323,120.59764
29.30364,120.5979
29.30379,120.59786
29.30381,120.59753
29.30368,120.59725
29.30372,120.5969
29.30341,120.59644
29.3034,120.59582
29.30309,120.59568
29.30273,120.59523
29.30258,120.59517
29.30251,120.59535
29.30249,120.59587
29.30225,120.59563
29.30217,120.5952
29.30251,120.59488
29.30352,120.59457
29.30398,120.59319
29.30444,120.59251
29.30502,120.59193
29.30565,120.59149
29.30634,120.59113
29.30714,120.59077
29.30815,120.59043
29.3083,120.59023
29.30842,120.58952
29.30851,120.58941
29.30953,120.58907
29.30993,120.58777
29.31055,120.58676
29.31085,120.58655
29.31082,120.58683
29.31117,120.5876
29.31119,120.58793
29.3109,120.58867
29.31088,120.58887
29.31163,120.58881
29.31182,120.58883
29.31184,120.58895
29.31178,120.58923
29.31145,120.58969
29.31137,120.58999
29.31147,120.59009
29.31164,120.59008
29.31219,120.58976
29.31242,120.58983
29.3133,120.59043
29.31332,120.59053
29.31268,120.59073
29.31238,120.59093
29.31161,120.59095
29.3115,120.59101
29.3115,120.59123
29.31158,120.59137
29.312,120.59184
29.31251,120.59219
29.31268,120.59224
29.31298,120.59211
29.31381,120.59205
29.31425,120.59219
29.3162,120.59257
29.31738,120.59272
29.3176,120.59263
29.31795,120.5921
29.31807,120.5912
29.31829,120.59052
29.31867,120.59014
29.31883,120.5901
29.31944,120.59033
29.32001,120.59182
29.3204,120.59246
29.32085,120.59298
29.32124,120.59327
29.32176,120.5934
29.32269,120.59344
29.32309,120.59304
